,region,mag_total,mag_x,mag_y,mag_z,mag_variability
2503,solar_wind,25.102417114692358,-16.47,16.426,9.437,0.8283124292344048
2504,solar_wind,24.605938226371293,-16.644,15.772,8.926,0.2774306311311072
2505,solar_wind,24.363445692266108,-16.29,15.225,9.819,0.029750917932670262
2506,solar_wind,24.29635149564642,-17.306,15.054,8.012,0.1361756863661121
2507,solar_wind,24.388827442089134,-16.868,15.374,8.598,0.08675489179896445
2508,solar_wind,25.051276654094895,-16.749,16.406,8.825,0.5365134245514049
2509,solar_wind,24.619478325098605,-16.514,15.929,8.926,0.08047105119667819
2510,solar_wind,24.657857672555416,-16.888,16.125,7.924,0.08927818947163857
2511,solar_wind,23.714443636737506,-16.585,14.816,8.234,0.9021539705876407
2512,solar_wind,23.757871116747815,-16.3,15.026,8.542,0.8931063919630695
2513,solar_wind,23.794740259141303,-16.28,15.02,8.692,0.911747804199905
2514,solar_wind,24.2305618176715,-17.487,15.221,7.046,0.5037417665024648
2515,solar_wind,24.653085425560835,-17.323,15.744,7.734,0.10181856233328901
2516,solar_wind,24.332140144261867,-17.002,15.388,8.136,0.40647084359290986
2517,solar_wind,25.38593652004984,-16.82,16.683,9.122,0.6457057849962418
2518,solar_wind,24.451350433053797,-17.257,15.333,8.06,0.2978994219891362
2519,solar_wind,24.04110299050358,-16.718,14.897,8.75,0.7170714227552573
2520,solar_wind,24.202304539030987,-17.031,15.21,8.022,0.5517479280493554
2521,solar_wind,24.86828813971722,-16.725,16.149,8.827,0.09491855146061923
2522,solar_wind,24.872740902441777,-16.954,16.332,8.03,0.09549952638791481
2523,solar_wind,25.74566662566732,-16.915,17.315,8.77,0.9909649633951858
2524,solar_wind,25.430275204959933,-17.407,16.672,8.108,0.6743007468021815
2525,solar_wind,25.611753571358598,-16.964,17.104,8.697,0.8472650341406975
2526,solar_wind,24.618592608026965,-16.806,15.771,8.655,0.1732555706963268
2527,solar_wind,24.9935218806794,-16.498,16.266,9.376,0.1841610079733016
2528,solar_wind,24.60685997846942,-16.779,15.771,8.674,0.20871390895239372
2529,solar_wind,24.215992835314434,-17.097,15.564,7.202,0.604209399688628
2530,solar_wind,24.49400285784257,-17.024,15.5,8.36,0.3220671675237803
2531,solar_wind,25.085919456938385,-17.467,16.045,8.171,0.27254629615255865
2532,solar_wind,24.614061428378697,-17.244,15.672,7.93,0.22937115798654517
2533,solar_wind,25.556386794693807,-16.791,17.035,9.0,0.6903267167600546
2534,solar_wind,25.034291861364885,-17.161,16.482,7.782,0.12289423724554638
2535,solar_wind,25.48710713282306,-17.225,16.842,8.321,0.5469437186727788
2536,solar_wind,24.78534815168026,-17.327,15.775,8.077,0.16590502407311902
2537,solar_wind,25.1285768399247,-17.693,15.945,8.01,0.1536889214044912
2538,solar_wind,25.343100599571475,-17.534,16.706,7.466,0.37850601348957014
2539,solar_wind,25.061584666576852,-17.555,16.26,7.451,0.07673265513398775
2540,solar_wind,25.14099840897334,-17.506,16.374,7.583,0.11718769299179144
2541,solar_wind,25.478311757257387,-17.46,16.817,7.841,0.4128484823317109
2542,solar_wind,24.550593475515004,-16.61,16.356,7.702,0.5443861904688063
2543,solar_wind,24.569663469408777,-16.077,16.975,7.553,0.5543936557174121
2544,solar_wind,25.15460174600266,-17.247,16.592,7.746,0.009577883120176267
2545,solar_wind,24.95501546783732,-16.954,16.491,7.96,0.18976105502184737
2546,solar_wind,25.485190993987075,-16.724,17.5,7.972,0.3499590913089605
2547,solar_wind,25.014371948941672,-17.352,16.274,7.732,0.10347296860874877
2548,solar_wind,24.643561045433348,-17.216,15.757,7.914,0.45699708824445295
2549,solar_wind,25.24103890492624,-17.396,16.502,7.885,0.13069776165758995
2550,solar_wind,24.450057729993198,-17.501,15.079,8.009,0.6832215758533344
2551,solar_wind,24.54728622475405,-17.496,15.443,7.614,0.6094304744375698
2552,solar_wind,24.946880085493657,-17.761,15.901,7.352,0.21711295924876595
2553,solar_wind,24.68559827105675,-17.651,15.215,8.144,0.5057774778945081
2554,solar_wind,25.653579652750217,-18.308,16.242,7.689,0.47280838236796185
2555,solar_wind,25.409959208940105,-18.839,15.859,6.265,0.2557019254699604
2556,solar_wind,25.107765651288048,-18.996,15.142,6.346,0.01842779540475803
2557,solar_wind,25.30116459770182,-18.06,16.063,7.481,0.17703022356297637
2558,solar_wind,24.963909890079318,-17.229,15.73,8.884,0.12753710279552166
2559,solar_wind,25.281904872853232,-17.068,16.417,8.851,0.20282653444050425
2560,solar_wind,25.63840987658946,-16.374,17.251,9.572,0.5724665699782641
2561,solar_wind,25.910059455740353,-17.566,17.523,7.464,0.8676419065152174
2562,solar_wind,26.078460173100712,-17.606,17.4,8.207,1.0610812826174367
2563,solar_wind,26.06491672727922,-16.754,17.418,9.762,1.0460503621232675
2564,solar_wind,26.60530287367539,-16.011,18.022,11.256,1.5895102494055173
2565,solar_wind,25.420134264004194,-16.219,16.512,10.511,0.4108549298621007
2566,solar_wind,25.220424143935407,-16.537,16.492,9.519,0.2196519750357595
2567,solar_wind,23.90572621779142,-16.944,15.279,7.137,1.0687795112595708
2568,solar_wind,24.28476374190204,-16.45,15.905,8.135,0.676298722401107
2569,solar_wind,25.007963371694224,-16.38,16.954,8.346,0.026190613681993824
2570,solar_wind,25.15645750100757,-16.624,16.903,8.413,0.18960987556789632
2571,solar_wind,25.4549359849912,-17.429,17.139,7.102,0.4797813866706946
2572,solar_wind,25.384249624521107,-15.937,17.872,8.424,0.42146780312026166
2573,solar_wind,25.73675230094116,-15.293,18.553,9.181,0.7977077968279893
